Garis Kemiskinan Menurut Kabupaten Kota (Rupiah/Kapita/Bulan),,
NAMA WILAYAH,TAHUN,GARIS KEMISKINAN (Rupiah/Kapita/Bulan)
NIAS UTARA,2020,429836
NIAS UTARA,2021,455118
NIAS UTARA,2022,474533
NIAS UTARA,2023,501443
NIAS BARAT,2016,352570
NIAS BARAT,2017,361397
NIAS BARAT,2018,386431
NIAS BARAT,2019,393450
NIAS BARAT,2020,433249
NIAS BARAT,2021,458533
NIAS BARAT,2022,487469
NIAS BARAT,2023,520543
KOTA SIBOLGA,2016,391681
KOTA SIBOLGA,2017,413454
KOTA SIBOLGA,2018,415478
KOTA SIBOLGA,2019,425236
KOTA SIBOLGA,2020,453786
KOTA SIBOLGA,2021,485527
KOTA SIBOLGA,2022,516367
KOTA SIBOLGA,2023,568188
KOTA TANJUNG BALAI,2016,345900
KOTA TANJUNG BALAI,2017,374442
KOTA TANJUNG BALAI,2018,397647
KOTA TANJUNG BALAI,2019,421671
KOTA TANJUNG BALAI,2020,444125
KOTA TANJUNG BALAI,2021,482602
KOTA TANJUNG BALAI,2022,515456
KOTA TANJUNG BALAI,2023,554065
KOTA PEMATANG SIANTAR,2016,429365
KOTA PEMATANG SIANTAR,2017,464794
KOTA PEMATANG SIANTAR,2018,474084
KOTA PEMATANG SIANTAR,2019,502726
KOTA PEMATANG SIANTAR,2020,536486
KOTA PEMATANG SIANTAR,2021,583588
KOTA PEMATANG SIANTAR,2022,631886
KOTA PEMATANG SIANTAR,2023,670183
KOTA TEBING TINGGI,2016,383650
KOTA TEBING TINGGI,2017,415307
KOTA TEBING TINGGI,2018,426469
KOTA TEBING TINGGI,2019,460533
KOTA TEBING TINGGI,2020,493227
KOTA TEBING TINGGI,2021,536531
KOTA TEBING TINGGI,2022,578512
KOTA TEBING TINGGI,2023,623531
KOTA MEDAN,2016,460685
KOTA MEDAN,2017,491496
KOTA MEDAN,2018,518420
KOTA MEDAN,2019,532055
KOTA MEDAN,2020,553796
KOTA MEDAN,2021,577126
KOTA MEDAN,2022,607166
KOTA MEDAN,2023,651901
KOTA BINJAI,2016,343078
KOTA BINJAI,2017,371387
KOTA BINJAI,2018,380792
KOTA BINJAI,2019,403798
KOTA BINJAI,2020,433746
KOTA BINJAI,2021,466554
KOTA BINJAI,2022,499451
KOTA BINJAI,2023,538638
KOTA PADANGSIDIMPUAN,2016,326579
KOTA PADANGSIDIMPUAN,2017,348074
KOTA PADANGSIDIMPUAN,2018,363468
KOTA PADANGSIDIMPUAN,2019,382884
KOTA PADANGSIDIMPUAN,2020,417455
KOTA PADANGSIDIMPUAN,2021,453777
KOTA PADANGSIDIMPUAN,2022,480196
KOTA PADANGSIDIMPUAN,2023,523244
KOTA GUNUNGSITOLI,2016,304727
KOTA GUNUNGSITOLI,2017,318585
KOTA GUNUNGSITOLI,2018,327303
KOTA GUNUNGSITOLI,2019,339671
KOTA GUNUNGSITOLI,2020,370967
KOTA GUNUNGSITOLI,2021,408190
KOTA GUNUNGSITOLI,2022,426349
KOTA GUNUNGSITOLI,2023,459787
SUMATERA BARAT,2016,425141
SUMATERA BARAT,2017,453612
SUMATERA BARAT,2018,476554
SUMATERA BARAT,2019,503652
SUMATERA BARAT,2020,544315
SUMATERA BARAT,2021,568703
SUMATERA BARAT,2022,610941
SUMATERA BARAT,2023,667925
KEPULAUAN MENTAWAI,2016,263793
KEPULAUAN MENTAWAI,2017,280695
KEPULAUAN MENTAWAI,2018,294284
KEPULAUAN MENTAWAI,2019,310033
KEPULAUAN MENTAWAI,2020,340191
KEPULAUAN MENTAWAI,2021,356403
KEPULAUAN MENTAWAI,2022,386152
KEPULAUAN MENTAWAI,2023,421113
PESISIR SELATAN,2016,366228
PESISIR SELATAN,2017,390955
PESISIR SELATAN,2018,409882
PESISIR SELATAN,2019,431817
PESISIR SELATAN,2020,467743
PESISIR SELATAN,2021,491573
PESISIR SELATAN,2022,526564
PESISIR SELATAN,2023,554057
SOLOK,2016,376748
SOLOK,2017,400887
SOLOK,2018,408570
SOLOK,2019,415649
SOLOK,2020,451906
SOLOK,2021,461030
SOLOK,2022,484358
SOLOK,2023,532900
SIJUNJUNG,2016,344153
SIJUNJUNG,2017,365074
SIJUNJUNG,2018,379046
SIJUNJUNG,2019,400861
SIJUNJUNG,2020,433147
SIJUNJUNG,2021,455346
SIJUNJUNG,2022,484572
SIJUNJUNG,2023,529460
TANAH DATAR,2016,346267
TANAH DATAR,2017,361037
TANAH DATAR,2018,369833
TANAH DATAR,2019,379041
TANAH DATAR,2020,420049
TANAH DATAR,2021,441793
TANAH DATAR,2022,466907
TANAH DATAR,2023,515587
PADANG PARIAMAN,2016,374636
PADANG PARIAMAN,2017,385736
PADANG PARIAMAN,2018,402960
PADANG PARIAMAN,2019,411182
PADANG PARIAMAN,2020,455463
PADANG PARIAMAN,2021,475342
PADANG PARIAMAN,2022,499461
PADANG PARIAMAN,2023,548147
AGAM,2016,315804
AGAM,2017,327004
AGAM,2018,341372
AGAM,2019,379304
AGAM,2020,424728
AGAM,2021,444711
AGAM,2022,485222
AGAM,2023,530290
LIMA PULUH KOTA,2016,357824
LIMA PULUH KOTA,2017,370506
LIMA PULUH KOTA,2018,388689
LIMA PULUH KOTA,2019,403030
LIMA PULUH KOTA,2020,451295
LIMA PULUH KOTA,2021,475123
LIMA PULUH KOTA,2022,504670
LIMA PULUH KOTA,2023,553068
PASAMAN,2016,307552
PASAMAN,2017,320478
PASAMAN,2018,334800
PASAMAN,2019,347153
PASAMAN,2020,388726
PASAMAN,2021,408293
PASAMAN,2022,431915
PASAMAN,2023,472703
SOLOK SELATAN,2016,326733
SOLOK SELATAN,2017,347667
SOLOK SELATAN,2018,364498
SOLOK SELATAN,2019,387438
SOLOK SELATAN,2020,419442
SOLOK SELATAN,2021,438187
SOLOK SELATAN,2022,470090
SOLOK SELATAN,2023,516004
DHARMASRAYA,2016,374642
DHARMASRAYA,2017,398408
DHARMASRAYA,2018,414096
DHARMASRAYA,2019,439117
DHARMASRAYA,2020,477421
DHARMASRAYA,2021,503183
DHARMASRAYA,2022,530693
DHARMASRAYA,2023,581058
PASAMAN BARAT,2016,367159
PASAMAN BARAT,2017,382820
PASAMAN BARAT,2018,402877
PASAMAN BARAT,2019,417742
PASAMAN BARAT,2020,467769
PASAMAN BARAT,2021,492467
PASAMAN BARAT,2022,544829
