Jumlah Penduduk Miskin Kabupaten Kota,,
NAMA WILAYAH,TAHUN,JUMLAH (RIBU JIWA)
Serdang Bedagai,2017,56.93
Serdang Bedagai,2018,50.49
Serdang Bedagai,2019,48.69
Serdang Bedagai,2020,49.18
Serdang Bedagai,2021,51.16
Serdang Bedagai,2022,48.22
Serdang Bedagai,2023,45.88
Batu Bara,2016,49.42
Batu Bara,2017,50.91
Batu Bara,2018,51.78
Batu Bara,2019,50.46
Batu Bara,2020,49.78
Batu Bara,2021,52.59
Batu Bara,2022,49.39
Batu Bara,2023,49.18
Padang Lawas Utara,2016,27.88
Padang Lawas Utara,2017,27.98
Padang Lawas Utara,2018,26.82
Padang Lawas Utara,2019,26.06
Padang Lawas Utara,2020,26.79
Padang Lawas Utara,2021,28.37
Padang Lawas Utara,2022,26.09
Padang Lawas Utara,2023,26.17
Padang Lawas,2016,22.8
Padang Lawas,2017,24.42
Padang Lawas,2018,23.05
Padang Lawas,2019,23.17
Padang Lawas,2020,23.87
Padang Lawas,2021,25.78
Padang Lawas,2022,24.45
Padang Lawas,2023,24.51
Labuhan Batu Selatan,2016,36.62
Labuhan Batu Selatan,2017,37.82
Labuhan Batu Selatan,2018,33.14
Labuhan Batu Selatan,2019,30.17
Labuhan Batu Selatan,2020,28.63
Labuhan Batu Selatan,2021,30.36
Labuhan Batu Selatan,2022,29.38
Labuhan Batu Selatan,2023,29.83
Labuhan Batu Utara,2016,38.81
Labuhan Batu Utara,2017,40.24
Labuhan Batu Utara,2018,36.45
Labuhan Batu Utara,2019,34.76
Labuhan Batu Utara,2020,34.86
Labuhan Batu Utara,2021,37.13
Labuhan Batu Utara,2022,33.91
Labuhan Batu Utara,2023,34.13
Nias Utara,2016,41.66
Nias Utara,2017,39.47
Nias Utara,2018,36.33
Nias Utara,2019,34.42
Nias Utara,2020,34.75
Nias Utara,2021,35.84
Nias Utara,2022,32.87
Nias Utara,2023,30.78
Nias Barat,2016,24.16
Nias Barat,2017,23.33
Nias Barat,2018,23
Nias Barat,2019,22.08
Nias Barat,2020,22.33
Nias Barat,2021,21.75
Nias Barat,2022,20.42
Nias Barat,2023,18.86
Kota Sibolga,2016,11.54
Kota Sibolga,2017,11.91
Kota Sibolga,2018,10.81
Kota Sibolga,2019,10.82
Kota Sibolga,2020,10.49
Kota Sibolga,2021,10.8
Kota Sibolga,2022,10.05
Kota Sibolga,2023,10.02
Kota Tanjung Balai,2016,24.42
Kota Tanjung Balai,2017,24.68
Kota Tanjung Balai,2018,25.3
Kota Tanjung Balai,2019,24.54
Kota Tanjung Balai,2020,23.54
Kota Tanjung Balai,2021,24.1
Kota Tanjung Balai,2022,22.65
Kota Tanjung Balai,2023,22.45
Kota Pematang Siantar,2016,24.88
Kota Pematang Siantar,2017,25.34
Kota Pematang Siantar,2018,22.01
Kota Pematang Siantar,2019,21.99
Kota Pematang Siantar,2020,21.23
Kota Pematang Siantar,2021,22.06
Kota Pematang Siantar,2022,20.53
Kota Pematang Siantar,2023,18.96
Kota Tebing Tinggi,2016,18.52
Kota Tebing Tinggi,2017,19.06
Kota Tebing Tinggi,2018,16.64
Kota Tebing Tinggi,2019,16.3
Kota Tebing Tinggi,2020,16.32
Kota Tebing Tinggi,2021,17.37
Kota Tebing Tinggi,2022,16.34
Kota Tebing Tinggi,2023,16.36
Kota Medan,2016,206.87
Kota Medan,2017,204.22
Kota Medan,2018,186.45
Kota Medan,2019,183.79
Kota Medan,2020,183.54
Kota Medan,2021,193.03
Kota Medan,2022,187.74
Kota Medan,2023,187.28
Kota Binjai,2016,17.8
Kota Binjai,2017,18.23
Kota Binjai,2018,16.07
Kota Binjai,2019,15.61
Kota Binjai,2020,15.91
Kota Binjai,2021,16.46
Kota Binjai,2022,14.61
Kota Binjai,2023,13.85
Kota Padangsidimpuan,2016,17.65
Kota Padangsidimpuan,2017,17.76
Kota Padangsidimpuan,2018,16.79
Kota Padangsidimpuan,2019,16.06
Kota Padangsidimpuan,2020,16.56
Kota Padangsidimpuan,2021,17.28
Kota Padangsidimpuan,2022,16.03
Kota Padangsidimpuan,2023,16.15
Kota Gunungsitoli,2016,32.17
Kota Gunungsitoli,2017,30.08
Kota Gunungsitoli,2018,25.91
Kota Gunungsitoli,2019,23.06
Kota Gunungsitoli,2020,23.54
Kota Gunungsitoli,2021,24.02
Kota Gunungsitoli,2022,21.85
Kota Gunungsitoli,2023,22.03
SUMATERA BARAT,2016,371.55
SUMATERA BARAT,2017,364.51
SUMATERA BARAT,2018,357.13
SUMATERA BARAT,2019,348.22
SUMATERA BARAT,2020,344.23
SUMATERA BARAT,2021,370.67
SUMATERA BARAT,2022,335.21
SUMATERA BARAT,2023,340.37
Kepulauan Mentawai,2016,13.09
Kepulauan Mentawai,2017,12.95
Kepulauan Mentawai,2018,12.99
Kepulauan Mentawai,2019,13.22
Kepulauan Mentawai,2020,13.37
Kepulauan Mentawai,2021,14.31
Kepulauan Mentawai,2022,13.74
Kepulauan Mentawai,2023,13.76
Pesisir Selatan,2016,35.86
Pesisir Selatan,2017,35.53
Pesisir Selatan,2018,34.92
Pesisir Selatan,2019,36.51
Pesisir Selatan,2020,35.46
Pesisir Selatan,2021,37.41
Pesisir Selatan,2022,33.78
Pesisir Selatan,2023,35.09
Solok,2016,34.06
Solok,2017,33.33
Solok,2018,32.89
Solok,2019,29.74
Solok,2020,29.28
Solok,2021,30.36
Solok,2022,27.16
Solok,2023,27.33
Sijunjung,2016,17.12
Sijunjung,2017,16.83
Sijunjung,2018,16.55
Sijunjung,2019,16.65
Sijunjung,2020,16.28
Sijunjung,2021,16.81
Sijunjung,2022,15.07
Sijunjung,2023,15.02
Tanah Datar,2016,19.63
Tanah Datar,2017,19.27
Tanah Datar,2018,18.48
Tanah Datar,2019,16.2
Tanah Datar,2020,15.34
Tanah Datar,2021,15.89
Tanah Datar,2022,14.91
Tanah Datar,2023,14.57
Padang Pariaman,2016,36.34
Padang Pariaman,2017,34.7
Padang Pariaman,2018,33.2
Padang Pariaman,2019,29.48
Padang Pariaman,2020,28.98
Padang Pariaman,2021,30.41
Padang Pariaman,2022,26.44
Padang Pariaman,2023,26.93
Agam,2016,37.55
Agam,2017,36.57
Agam,2018,32.92
Agam,2019,33.1
Agam,2020,33.31
Agam,2021,34.26
Agam,2022,31.33
Agam,2023,33.41
Lima Puluh Kota,2016,28.57
Lima Puluh Kota,2017,26.93
Lima Puluh Kota,2018,26.47
Lima Puluh Kota,2019,26.64
Lima Puluh Kota,2020,26.43
Lima Puluh Kota,2021,28.51
Lima Puluh Kota,2022,26
Lima Puluh Kota,2023,27.02
Pasaman,2016,20.83
Pasaman,2017,20.38
Pasaman,2018,20.31
Pasaman,2019,20.22
Pasaman,2020,20.29
Pasaman,2021,21.57
Pasaman,2022,19.94
Pasaman,2023,19.99
Solok Selatan,2016,11.91
Solok Selatan,2017,11.89
Solok Selatan,2018,11.85
Solok Selatan,2019,12.5
Solok Selatan,2020,12.39
Solok Selatan,2021,13.41
Solok Selatan,2022,11.81
Solok Selatan,2023,11.91
Dharmasraya,2016,16.24
Dharmasraya,2017,15.63
Dharmasraya,2018,15.42
Dharmasraya,2019,15.49
Dharmasraya,2020,15.7
Dharmasraya,2021,17.6
Dharmasraya,2022,15.08
Dharmasraya,2023,15.49
Pasaman Barat,2016,30.76
Pasaman Barat,2017,30.84
Pasaman Barat,2018,31.83
Pasaman Barat,2019,31.53
Pasaman Barat,2020,31.64
Pasaman Barat,2021,34.97
Pasaman Barat,2022,32.91
Pasaman Barat,2023,33.52
Kota Padang,2016,42.56
Kota Padang,2017,43.75
Kota Padang,2018,44.04
Kota Padang,2019,42.44
Kota Padang,2020,42.17
Kota Padang,2021,48.44
Kota Padang,2022,42.37
Kota Padang,2023,41.97
Kota Solok,2016,2.59
Kota Solok,2017,2.5
Kota Solok,2018,2.29
Kota Solok,2019,2.29
Kota Solok,2020,1.99
Kota Solok,2021,2.31
Kota Solok,2022,2.28
Kota Solok,2023,2.35
Kota Sawah Lunto,2016,1.34
Kota Sawah Lunto,2017,1.23
Kota Sawah Lunto,2018,1.48
Kota Sawah Lunto,2019,1.35
Kota Sawah Lunto,2020,1.36
Kota Sawah Lunto,2021,1.52
Kota Sawah Lunto,2022,1.47
Kota Sawah Lunto,2023,1.47
Kota Padang Panjang,2016,3.47
Kota Padang Panjang,2017,3.22
Kota Padang Panjang,2018,3.11
Kota Padang Panjang,2019,3
Kota Padang Panjang,2020,2.84
Kota Padang Panjang,2021,3.28
Kota Padang Panjang,2022,2.89
Kota Padang Panjang,2023,2.99
Kota Bukittinggi,2016,6.81
Kota Bukittinggi,2017,6.75
Kota Bukittinggi,2018,6.32
Kota Bukittinggi,2019,6
Kota Bukittinggi,2020,6.01
Kota Bukittinggi,2021,6.98
Kota Bukittinggi,2022,6.16
Kota Bukittinggi,2023,5.78
Kota Payakumbuh,2016,8.35
Kota Payakumbuh,2017,7.72
Kota Payakumbuh,2018,7.69
Kota Payakumbuh,2019,7.68
Kota Payakumbuh,2020,7.74
Kota Payakumbuh,2021,8.66
Kota Payakumbuh,2022,8.08
Kota Payakumbuh,2023,7.88
Kota Pariaman,2016,4.47
Kota Pariaman,2017,4.49
Kota Pariaman,2018,4.4
Kota Pariaman,2019,4.2
Kota Pariaman,2020,3.66
Kota Pariaman,2021,3.99
Kota Pariaman,2022,3.8
Kota Pariaman,2023,3.91
RIAU,2016,515.4
RIAU,2017,514.62
RIAU,2018,500.44
RIAU,2019,490.72
RIAU,2020,483.39
RIAU,2021,500.81
RIAU,2022,485.03
RIAU,2023,485.66
Kuantan Singingi,2016,31.22
Kuantan Singingi,2017,31.95
Kuantan Singingi,2018,32.1
Kuantan Singingi,2019,31.22
Kuantan Singingi,2020,29.34
Kuantan Singingi,2021,28.9
