PERSENTASE PENDUDUK P0 MISKIN KABUPATEN KOTA,,
NAMA WILAYAH,TAHUN,PENDUDUK MISKIN (Persen)
Tapanuli Selatan,2013,11.33
Tapanuli Selatan,2014,10.74
Tapanuli Selatan,2015,11.37
Tapanuli Selatan,2016,11.15
Tapanuli Selatan,2017,10.6
Tapanuli Selatan,2018,9.16
Tapanuli Selatan,2019,8.6
Tapanuli Selatan,2020,8.47
Tapanuli Selatan,2021,8.8
Tapanuli Selatan,2022,8.07
Tapanuli Selatan,2023,7.01
Tapanuli Selatan,2024,6.92
Tapanuli Tengah,2004,31.47
Tapanuli Tengah,2005,30.16
Tapanuli Tengah,2006,29.44
Tapanuli Tengah,2007,27.47
Tapanuli Tengah,2008,19.35
Tapanuli Tengah,2009,17.83
Tapanuli Tengah,2010,16.73
Tapanuli Tengah,2011,15.96
Tapanuli Tengah,2012,15.03
Tapanuli Tengah,2013,15.41
Tapanuli Tengah,2014,14.47
Tapanuli Tengah,2015,15
Tapanuli Tengah,2016,14.58
Tapanuli Tengah,2017,14.66
Tapanuli Tengah,2018,13.17
Tapanuli Tengah,2019,12.53
Tapanuli Tengah,2020,12.38
Tapanuli Tengah,2021,12.67
Tapanuli Tengah,2022,11.71
Tapanuli Tengah,2023,11.5
Tapanuli Tengah,2024,11.8
Tapanuli Utara,2004,19.16
Tapanuli Utara,2005,21.8
Tapanuli Utara,2006,22.36
Tapanuli Utara,2007,20.06
Tapanuli Utara,2008,14.15
Tapanuli Utara,2009,13.1
Tapanuli Utara,2010,12.49
Tapanuli Utara,2011,11.89
Tapanuli Utara,2012,11.55
Tapanuli Utara,2013,11.68
Tapanuli Utara,2014,11.06
Tapanuli Utara,2015,11.41
Tapanuli Utara,2016,11.25
Tapanuli Utara,2017,11.35
Tapanuli Utara,2018,9.75
Tapanuli Utara,2019,9.48
Tapanuli Utara,2020,9.37
Tapanuli Utara,2021,9.72
Tapanuli Utara,2022,8.93
Tapanuli Utara,2023,8.54
Tapanuli Utara,2024,8.21
Toba Samosir,2004,20.37
Toba Samosir,2005,18.99
Toba Samosir,2006,16.87
Toba Samosir,2007,15.28
Toba Samosir,2008,11.62
Toba Samosir,2009,10.07
Toba Samosir,2010,10.15
Toba Samosir,2011,9.67
Toba Samosir,2012,9.43
Toba Samosir,2013,9.54
Toba Samosir,2014,9.23
Toba Samosir,2015,10.21
Toba Samosir,2016,10.08
Toba Samosir,2017,10.19
Toba Samosir,2018,8.67
Toba Samosir,2019,8.6
Toba Samosir,2020,8.71
Toba Samosir,2021,8.99
Toba Samosir,2022,8.89
Toba Samosir,2023,8.04
Toba Samosir,2024,8.07
Labuhan Batu,2004,14.16
Labuhan Batu,2005,12.98
Labuhan Batu,2006,14.65
Labuhan Batu,2007,12.33
Labuhan Batu,2008,10.76
Labuhan Batu,2009,9.85
Labuhan Batu,2010,10.67
Labuhan Batu,2011,10.15
Labuhan Batu,2012,9.61
Labuhan Batu,2013,8.53
Labuhan Batu,2014,8.2
Labuhan Batu,2015,8.99
Labuhan Batu,2016,8.95
Labuhan Batu,2017,8.89
Labuhan Batu,2018,8.61
