Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin 2018-2023,,,
NAMA WILAYAH,JENIS KELAMIN,TAHUN,TINGKAT PARTISIPASI (Persen)
Labuhan Batu Selatan,Laki - Laki,2022,84.78
Labuhan Batu Selatan,Laki - Laki,2023,88.5
Labuhan Batu Utara,Laki - Laki,2018,85.19
Labuhan Batu Utara,Laki - Laki,2019,84.23
Labuhan Batu Utara,Laki - Laki,2020,84.91
Labuhan Batu Utara,Laki - Laki,2021,84.1
Labuhan Batu Utara,Laki - Laki,2022,87.45
Labuhan Batu Utara,Laki - Laki,2023,86.36
Nias Utara,Laki - Laki,2018,83.18
Nias Utara,Laki - Laki,2019,79.47
Nias Utara,Laki - Laki,2020,78.97
Nias Utara,Laki - Laki,2021,78.87
Nias Utara,Laki - Laki,2022,83.9
Nias Utara,Laki - Laki,2023,85.74
Nias Barat,Laki - Laki,2018,90.99
Nias Barat,Laki - Laki,2019,83.46
Nias Barat,Laki - Laki,2020,51.2
Nias Barat,Laki - Laki,2021,84.29
Nias Barat,Laki - Laki,2022,87.6
Nias Barat,Laki - Laki,2023,81.82
Kota Sibolga,Laki - Laki,2018,83.42
Kota Sibolga,Laki - Laki,2019,81.63
Kota Sibolga,Laki - Laki,2020,83.22
Kota Sibolga,Laki - Laki,2021,83.61
Kota Sibolga,Laki - Laki,2022,83
Kota Sibolga,Laki - Laki,2023,84.42
Kota Tanjung Balai,Laki - Laki,2018,85
Kota Tanjung Balai,Laki - Laki,2019,83.67
Kota Tanjung Balai,Laki - Laki,2020,84.77
Kota Tanjung Balai,Laki - Laki,2021,82.14
Kota Tanjung Balai,Laki - Laki,2022,85.78
Kota Tanjung Balai,Laki - Laki,2023,83.11
Kota Pematang Siantar,Laki - Laki,2018,77.21
Kota Pematang Siantar,Laki - Laki,2019,80.06
Kota Pematang Siantar,Laki - Laki,2020,77.93
Kota Pematang Siantar,Laki - Laki,2021,77.08
Kota Pematang Siantar,Laki - Laki,2022,76.78
Kota Pematang Siantar,Laki - Laki,2023,81.36
Kota Tebing Tinggi,Laki - Laki,2018,83.47
Kota Tebing Tinggi,Laki - Laki,2019,82.43
Kota Tebing Tinggi,Laki - Laki,2020,83.04
Kota Tebing Tinggi,Laki - Laki,2021,81.17
Kota Tebing Tinggi,Laki - Laki,2022,89.21
Kota Tebing Tinggi,Laki - Laki,2023,81.98
Kota Medan,Laki - Laki,2018,78.9
Kota Medan,Laki - Laki,2019,79.05
Kota Medan,Laki - Laki,2020,78.79
Kota Medan,Laki - Laki,2021,75.12
Kota Medan,Laki - Laki,2022,78.81
Kota Medan,Laki - Laki,2023,79.45
Kota Binjai,Laki - Laki,2018,83.69
Kota Binjai,Laki - Laki,2019,83.35
Kota Binjai,Laki - Laki,2020,82.26
Kota Binjai,Laki - Laki,2021,78.58
Kota Binjai,Laki - Laki,2022,77.34
Kota Binjai,Laki - Laki,2023,78.68
Kota Padangsidimpuan,Laki - Laki,2018,80.77
Kota Padangsidimpuan,Laki - Laki,2019,81.22
Kota Padangsidimpuan,Laki - Laki,2020,81.2
Kota Padangsidimpuan,Laki - Laki,2021,76.95
Kota Padangsidimpuan,Laki - Laki,2022,74.59
Kota Padangsidimpuan,Laki - Laki,2023,80.75
Kota Gunungsitoli,Laki - Laki,2018,77.94
Kota Gunungsitoli,Laki - Laki,2019,78.5
Kota Gunungsitoli,Laki - Laki,2020,75.08
Kota Gunungsitoli,Laki - Laki,2021,74.62
Kota Gunungsitoli,Laki - Laki,2022,77.31
Kota Gunungsitoli,Laki - Laki,2023,79.21
SUMATERA BARAT,Laki - Laki,2018,80.66
SUMATERA BARAT,Laki - Laki,2019,81.86
SUMATERA BARAT,Laki - Laki,2020,82.08
SUMATERA BARAT,Laki - Laki,2021,80.67
SUMATERA BARAT,Laki - Laki,2022,82.58
SUMATERA BARAT,Laki - Laki,2023,82.21
Kepulauan Mentawai,Laki - Laki,2018,82.39
Kepulauan Mentawai,Laki - Laki,2019,90.73
Kepulauan Mentawai,Laki - Laki,2020,88.35
Kepulauan Mentawai,Laki - Laki,2021,88.68
Kepulauan Mentawai,Laki - Laki,2022,84.35
Kepulauan Mentawai,Laki - Laki,2023,87.03
Pesisir Selatan,Laki - Laki,2018,83.37
Pesisir Selatan,Laki - Laki,2019,84.48
Pesisir Selatan,Laki - Laki,2020,81.38
Pesisir Selatan,Laki - Laki,2021,80.68
Pesisir Selatan,Laki - Laki,2022,86.06
Pesisir Selatan,Laki - Laki,2023,80.94
Solok,Laki - Laki,2018,82.23
Solok,Laki - Laki,2019,82.54
Solok,Laki - Laki,2020,84.58
Solok,Laki - Laki,2021,82.98
Solok,Laki - Laki,2022,82.74
Solok,Laki - Laki,2023,87.75
Sijunjung,Laki - Laki,2018,80
Sijunjung,Laki - Laki,2019,86.68
Sijunjung,Laki - Laki,2020,85.3
Sijunjung,Laki - Laki,2021,83.88
Sijunjung,Laki - Laki,2022,85.8
Sijunjung,Laki - Laki,2023,82.12
Tanah Datar,Laki - Laki,2018,80.45
Tanah Datar,Laki - Laki,2019,81.67
Tanah Datar,Laki - Laki,2020,81.49
Tanah Datar,Laki - Laki,2021,80.9
Tanah Datar,Laki - Laki,2022,80.3
Tanah Datar,Laki - Laki,2023,79.52
Padang Pariaman,Laki - Laki,2018,81.44
Padang Pariaman,Laki - Laki,2019,80.21
Padang Pariaman,Laki - Laki,2020,83.44
Padang Pariaman,Laki - Laki,2021,79.5
Padang Pariaman,Laki - Laki,2022,82.12
Padang Pariaman,Laki - Laki,2023,79.74
Agam,Laki - Laki,2018,80.91
Agam,Laki - Laki,2019,81.63
Agam,Laki - Laki,2020,82.62
Agam,Laki - Laki,2021,80.16
Agam,Laki - Laki,2022,85.18
Agam,Laki - Laki,2023,82.1
Lima Puluh Kota,Laki - Laki,2018,83.65
Lima Puluh Kota,Laki - Laki,2019,86.92
Lima Puluh Kota,Laki - Laki,2020,84.78
Lima Puluh Kota,Laki - Laki,2021,84.21
Lima Puluh Kota,Laki - Laki,2022,85.71
Lima Puluh Kota,Laki - Laki,2023,83.93
Pasaman,Laki - Laki,2018,80.8
Pasaman,Laki - Laki,2019,79.41
Pasaman,Laki - Laki,2020,84.07
Pasaman,Laki - Laki,2021,82.01
Pasaman,Laki - Laki,2022,83.59
Pasaman,Laki - Laki,2023,80.75
Solok Selatan,Laki - Laki,2018,85.92
Solok Selatan,Laki - Laki,2019,86.72
Solok Selatan,Laki - Laki,2020,85.64
Solok Selatan,Laki - Laki,2021,85.82
Solok Selatan,Laki - Laki,2022,89.31
Solok Selatan,Laki - Laki,2023,88.76
Dharmasraya,Laki - Laki,2018,85.47
Dharmasraya,Laki - Laki,2019,86.18
Dharmasraya,Laki - Laki,2020,85.67
Dharmasraya,Laki - Laki,2021,85.43
Dharmasraya,Laki - Laki,2022,86.11
Dharmasraya,Laki - Laki,2023,87.45
Pasaman Barat,Laki - Laki,2018,79.25
Pasaman Barat,Laki - Laki,2019,85.65
Pasaman Barat,Laki - Laki,2020,83.28
Pasaman Barat,Laki - Laki,2021,82.55
Pasaman Barat,Laki - Laki,2022,83.12
Pasaman Barat,Laki - Laki,2023,82.47
Kota Padang,Laki - Laki,2018,76.12
Kota Padang,Laki - Laki,2019,76.01
Kota Padang,Laki - Laki,2020,77.39
Kota Padang,Laki - Laki,2021,75.69
Kota Padang,Laki - Laki,2022,77.57
Kota Padang,Laki - Laki,2023,80.4
Kota Solok,Laki - Laki,2018,79.59
Kota Solok,Laki - Laki,2019,78.42
Kota Solok,Laki - Laki,2020,79.65
Kota Solok,Laki - Laki,2021,77.72
Kota Solok,Laki - Laki,2022,81.73
Kota Solok,Laki - Laki,2023,81.68
Kota Sawah Lunto,Laki - Laki,2018,83.24
Kota Sawah Lunto,Laki - Laki,2019,81.38
Kota Sawah Lunto,Laki - Laki,2020,81.89
Kota Sawah Lunto,Laki - Laki,2021,80.81
Kota Sawah Lunto,Laki - Laki,2022,81.49
Kota Sawah Lunto,Laki - Laki,2023,80.44
Kota Padang Panjang,Laki - Laki,2018,74.79
Kota Padang Panjang,Laki - Laki,2019,78.6
Kota Padang Panjang,Laki - Laki,2020,79.51
Kota Padang Panjang,Laki - Laki,2021,76.8
Kota Padang Panjang,Laki - Laki,2022,73.93
Kota Padang Panjang,Laki - Laki,2023,76.62
Kota Bukittinggi,Laki - Laki,2018,80.9
Kota Bukittinggi,Laki - Laki,2019,77.06
Kota Bukittinggi,Laki - Laki,2020,79.96
Kota Bukittinggi,Laki - Laki,2021,77.07
Kota Bukittinggi,Laki - Laki,2022,79.71
Kota Bukittinggi,Laki - Laki,2023,80.1
Kota Payakumbuh,Laki - Laki,2018,82.36
Kota Payakumbuh,Laki - Laki,2019,80.05
Kota Payakumbuh,Laki - Laki,2020,79.16
Kota Payakumbuh,Laki - Laki,2021,81.71
Kota Payakumbuh,Laki - Laki,2022,81.04
Kota Payakumbuh,Laki - Laki,2023,81.71
Kota Pariaman,Laki - Laki,2018,76.57
Kota Pariaman,Laki - Laki,2019,79.65
Kota Pariaman,Laki - Laki,2020,76.97
Kota Pariaman,Laki - Laki,2021,73
Kota Pariaman,Laki - Laki,2022,78.01
Kota Pariaman,Laki - Laki,2023,81.34
RIAU,Laki - Laki,2018,83.88
RIAU,Laki - Laki,2019,83.74
RIAU,Laki - Laki,2020,83.25
RIAU,Laki - Laki,2021,82.15
RIAU,Laki - Laki,2022,83.59
RIAU,Laki - Laki,2023,83.77
Kuantan Singingi,Laki - Laki,2018,82.17
Kuantan Singingi,Laki - Laki,2019,83.95
Kuantan Singingi,Laki - Laki,2020,85.99
Kuantan Singingi,Laki - Laki,2021,82.24
Kuantan Singingi,Laki - Laki,2022,83.04
Kuantan Singingi,Laki - Laki,2023,82.17
Indragiri Hulu,Laki - Laki,2018,86.45
Indragiri Hulu,Laki - Laki,2019,84.82
Indragiri Hulu,Laki - Laki,2020,86.19
Indragiri Hulu,Laki - Laki,2021,83.7
Indragiri Hulu,Laki - Laki,2022,85.46
Indragiri Hulu,Laki - Laki,2023,85.43
Indragiri Hilir,Laki - Laki,2018,86.5
Indragiri Hilir,Laki - Laki,2019,84.87
Indragiri Hilir,Laki - Laki,2020,86.6
Indragiri Hilir,Laki - Laki,2021,85.4
Indragiri Hilir,Laki - Laki,2022,86.03
Indragiri Hilir,Laki - Laki,2023,82.19
Pelalawan,Laki - Laki,2018,89.92
Pelalawan,Laki - Laki,2019,88.36
Pelalawan,Laki - Laki,2020,87.86
Pelalawan,Laki - Laki,2021,86.9
Pelalawan,Laki - Laki,2022,87.77
Pelalawan,Laki - Laki,2023,89.76
Siak,Laki - Laki,2018,86.36
Siak,Laki - Laki,2019,87.04
Siak,Laki - Laki,2020,83.22
Siak,Laki - Laki,2021,83.99
Siak,Laki - Laki,2022,88.01
Siak,Laki - Laki,2023,86.86
Kampar,Laki - Laki,2018,80.72
Kampar,Laki - Laki,2019,81.23
Kampar,Laki - Laki,2020,84.11
Kampar,Laki - Laki,2021,83.13
Kampar,Laki - Laki,2022,82.19
Kampar,Laki - Laki,2023,81.83
Rokan Hulu,Laki - Laki,2018,86.29
Rokan Hulu,Laki - Laki,2019,87.28
Rokan Hulu,Laki - Laki,2020,82.41
Rokan Hulu,Laki - Laki,2021,85.13
Rokan Hulu,Laki - Laki,2022,84.93
Rokan Hulu,Laki - Laki,2023,88.48
Bengkalis,Laki - Laki,2018,85.06
Bengkalis,Laki - Laki,2019,84.04
Bengkalis,Laki - Laki,2020,82.63
Bengkalis,Laki - Laki,2021,83.32
Bengkalis,Laki - Laki,2022,82.04
Bengkalis,Laki - Laki,2023,82.13
Rokan Hilir,Laki - Laki,2018,86.88
Rokan Hilir,Laki - Laki,2019,84.55
Rokan Hilir,Laki - Laki,2020,80.6
Rokan Hilir,Laki - Laki,2021,83.1
Rokan Hilir,Laki - Laki,2022,84.36
Rokan Hilir,Laki - Laki,2023,86.64
Kepulauan Meranti,Laki - Laki,2018,82.65
Kepulauan Meranti,Laki - Laki,2019,81.1
Kepulauan Meranti,Laki - Laki,2020,84
Kepulauan Meranti,Laki - Laki,2021,79.46
Kepulauan Meranti,Laki - Laki,2022,81.14
Kepulauan Meranti,Laki - Laki,2023,82.54
Kota Pekanbaru,Laki - Laki,2018,78.16
Kota Pekanbaru,Laki - Laki,2019,78.56
Kota Pekanbaru,Laki - Laki,2020,79.18
Kota Pekanbaru,Laki - Laki,2021,74.3
Kota Pekanbaru,Laki - Laki,2022,78.59
Kota Pekanbaru,Laki - Laki,2023,78.66
Kota Dumai,Laki - Laki,2018,80.31
Kota Dumai,Laki - Laki,2019,85.57
Kota Dumai,Laki - Laki,2020,82.49
Kota Dumai,Laki - Laki,2021,79.6
Kota Dumai,Laki - Laki,2022,84.42
Kota Dumai,Laki - Laki,2023,84.99
JAMBI,Laki - Laki,2018,84.08
JAMBI,Laki - Laki,2019,84.16
JAMBI,Laki - Laki,2020,84.96
JAMBI,Laki - Laki,2021,83.91
JAMBI,Laki - Laki,2022,86.17
JAMBI,Laki - Laki,2023,85.27
Kerinci,Laki - Laki,2018,80.95
Kerinci,Laki - Laki,2019,82.78
Kerinci,Laki - Laki,2020,82.9
Kerinci,Laki - Laki,2021,83.92
Kerinci,Laki - Laki,2022,85.84
Kerinci,Laki - Laki,2023,82.94
Merangin,Laki - Laki,2018,86.94
Merangin,Laki - Laki,2019,85.93
Merangin,Laki - Laki,2020,87.58
Merangin,Laki - Laki,2021,86.94
Merangin,Laki - Laki,2022,87.35
Merangin,Laki - Laki,2023,87.46
Sarolangun,Laki - Laki,2018,83.25
Sarolangun,Laki - Laki,2019,85.38
Sarolangun,Laki - Laki,2020,85.68
Sarolangun,Laki - Laki,2021,83.14
Sarolangun,Laki - Laki,2022,85.38
Sarolangun,Laki - Laki,2023,85.23
Batang Hari,Laki - Laki,2018,84.17
Batang Hari,Laki - Laki,2019,82.15
Batang Hari,Laki - Laki,2020,85.49
Batang Hari,Laki - Laki,2021,85.24
Batang Hari,Laki - Laki,2022,83.79
Batang Hari,Laki - Laki,2023,84.89
Muaro Jambi,Laki - Laki,2018,86.38
Muaro Jambi,Laki - Laki,2019,82.56
Muaro Jambi,Laki - Laki,2020,84.31
